Time,MSGS RECEIVED
10/09/2025 11:27:40.313 AM,"$GPGSV,3,1,10,21,73,242,43,09,57,252,43,22,55,029,43,04,30,153,*7B
$GPGSV,3,2,10,16,27,330,42,19,18,287,42,13,17,118,42,20,13,055,41*78
$GPGSV,3,3,10,06,06,209,41,07,03,174,*70
"
10/09/2025 11:27:40.512 AM,"#BESTXYZA,COM2,0,86.0,FINESTEERING,2159,69552.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6033039.0787,2584230.4866,1974425.6164,2.5959,1.9542,1.7943,SOL_COMPUTED,DOPPLER_VELOCITY,-1421.4289,-2241.3429,7233.4016,0.3103,0.2336,0.2145,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*a12f8e4d
"
10/09/2025 11:27:40.712 AM,"#HWMONITORA,COM2,0,86.0,FINESTEERING,2159,69552.000,02004000,52db,16410;9,31.807083130,100,0.129181936,200,3.273504257,600,5.061782837,700,1.195360184,800,3.275946379,f00,1.812576294,1100,5.100854874,1500,33.150184631,1600*199e4431
"
10/09/2025 11:27:40.913 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69553.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*53ddec4b
"
10/09/2025 11:27:41.113 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69553.000,02004000,9924,16410;VALID,-6.684477377e-10,1.160414924e-09,-18.00000000000,2021,5,23,19,18,55000,VALID*464e399e
"
10/09/2025 11:27:41.314 AM,"$GPGSV,3,1,10,21,73,242,43,09,57,252,43,22,55,029,43,04,30,153,*7B
$GPGSV,3,2,10,16,27,330,42,19,18,287,42,13,17,118,42,20,13,055,41*78
$GPGSV,3,3,10,06,06,209,41,07,03,174,*70
"
10/09/2025 11:27:41.514 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69553.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6031613.7911,2581987.6307,1981657.8056,2.5958,1.9542,1.7944,SOL_COMPUTED,DOPPLER_VELOCITY,-1429.2259,-2244.3719,7230.9325,0.3103,0.2336,0.2145,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*0752ac06
"
10/09/2025 11:27:41.713 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69553.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.273504257,600,5.061782837,700,1.199023247,800,3.274725437,f00,1.824175835,1100,5.100854874,1500,33.150184631,1600*835c0ad8
"
10/09/2025 11:27:41.913 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69554.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*2ff61245
"
10/09/2025 11:27:42.113 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69554.000,02004000,9924,16410;VALID,-5.501179952e-10,1.174608091e-09,-18.00000000000,2021,5,23,19,18,56000,VALID*38a98c68
"
10/09/2025 11:27:42.313 AM,"$GPGSV,3,1,10,21,73,242,43,09,57,252,43,22,55,029,43,04,30,153,*7B
$GPGSV,3,2,10,16,27,330,42,19,18,287,42,13,17,118,42,20,13,055,42*7B
$GPGSV,3,3,10,06,06,209,41,07,03,174,*70
"
10/09/2025 11:27:42.514 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69554.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6030180.7362,2579741.8130,1988887.5429,2.5957,1.9540,1.7944,SOL_COMPUTED,DOPPLER_VELOCITY,-1437.0167,-2247.3186,7228.4764,0.3102,0.2336,0.2145,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*22852a59
"
10/09/2025 11:27:42.715 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69554.000,02004000,52db,16410;9,31.807083130,100,0.129181936,200,3.272283316,600,5.061782837,700,1.193528652,800,3.269841433,f00,1.829670429,1100,5.100854874,1500,33.150184631,1600*504391a7
"
10/09/2025 11:27:42.914 AM,"#PSRDOPA,COM2,0,90.0,FINESTEERING,2159,69555.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*f5e03874
"
10/09/2025 11:27:43.115 AM,"#TIMEA,COM2,0,90.0,FINESTEERING,2159,69555.000,02004000,9924,16410;VALID,-5.035385595e-10,1.176460977e-09,-18.00000000000,2021,5,23,19,18,57000,VALID*2fe511b1
"
10/09/2025 11:27:43.316 AM,"#BESTXYZA,COM2,0,90.0,FINESTEERING,2159,69555.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6028739.9190,2577493.0097,1996114.8087,2.5956,1.9539,1.7944,SOL_COMPUTED,DOPPLER_VELOCITY,-1444.7871,-2250.3423,7225.9945,0.3102,0.2335,0.2145,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*e5cc26a4
"
10/09/2025 11:27:43.517 AM,"#HWMONITORA,COM2,0,90.0,FINESTEERING,2159,69555.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.275946379,600,5.061782837,700,1.198412657,800,3.274725437,f00,1.829059839,1100,5.100854874,1500,33.150184631,1600*116643c8
"
10/09/2025 11:27:43.718 AM,"#PSRDOPA,COM2,0,90.0,FINESTEERING,2159,69556.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*0dafe05f
"
10/09/2025 11:27:43.918 AM,"#TIMEA,COM2,0,90.0,FINESTEERING,2159,69556.000,02004000,9924,16410;VALID,-4.256877072e-10,1.174849759e-09,-18.00000000000,2021,5,23,19,18,58000,VALID*e1de6879
"
